Date,Occupation,Energy consumption [kwh],Week_day,Month
2018-01-01,0.0,4574.100000000006,Monday,January
2018-01-02,0.0,4732.649999999965,Tuesday,January
2018-01-03,0.0,5002.980000000389,Wednesday,January
2018-01-04,0.0,5012.829999999813,Thursday,January
2018-01-05,0.0,4987.019999999815,Friday,January
2018-01-06,0.0,4241.290000000008,Saturday,January
2018-01-07,0.0,4575.190000000352,Sunday,January
2018-01-08,150.5,8392.98000000001,Monday,January
2018-01-09,174.0,8106.929999999818,Tuesday,January
2018-01-10,152.5,8033.639999999985,Wednesday,January
2018-01-11,176.0,8116.060000000201,Thursday,January
2018-01-12,132.0,8018.969999999623,Friday,January
2018-01-13,0.0,4449.810000000172,Saturday,January
2018-01-14,0.0,4761.689999999828,Sunday,January
2018-01-15,48.0,8721.700000000012,Monday,January
2018-01-16,0.0,8096.2800000001735,Tuesday,January
2018-01-17,72.0,8157.690000000177,Wednesday,January
2018-01-18,48.0,8060.4109700000245,Thursday,January
2018-01-19,0.0,7120.059999999794,Friday,January
2018-01-20,0.0,3381.320000000007,Saturday,January
2018-01-21,0.0,4422.549999999814,Sunday,January
2018-01-22,48.0,8141.734843305063,Monday,January
2018-01-23,0.0,7606.4451566953085,Tuesday,January
2018-01-24,72.0,7825.9800000000105,Wednesday,January
2018-01-25,48.0,7914.255699999987,Thursday,January
2018-01-26,0.0,7671.509999999806,Friday,January
2018-01-27,0.0,4287.479999999836,Saturday,January
2018-01-28,0.0,4697.170000000362,Sunday,January
2018-01-29,48.0,8356.169999999809,Monday,January
2018-01-30,72.0,7836.860000000015,Tuesday,January
2018-01-31,48.0,7794.110000000161,Wednesday,January
2018-02-01,0.0,7740.529999999824,Thursday,February
2018-02-02,48.0,7652.4999999999445,Friday,February
2018-02-03,0.0,4310.799999999869,Saturday,February
2018-02-04,0.0,4669.0800000003655,Sunday,February
2018-02-05,0.0,8652.049999999814,Monday,February
2018-02-06,0.0,7856.309999999823,Tuesday,February
2018-02-07,0.0,7889.810000000376,Wednesday,February
2018-02-08,48.0,8071.249999999825,Thursday,February
2018-02-09,0.0,7738.429999999789,Friday,February
2018-02-10,0.0,5564.710000000021,Saturday,February
2018-02-11,0.0,4873.2800000001735,Sunday,February
2018-02-12,5049.0,8432.39999999982,Monday,February
2018-02-13,4264.0,7979.090000000171,Tuesday,February
2018-02-14,3303.0,7864.630000000208,Wednesday,February
2018-02-15,2812.0,7723.289999999979,Thursday,February
2018-02-16,1775.0,7628.559999999823,Friday,February
2018-02-17,0.0,4319.140000000014,Saturday,February
2018-02-18,0.0,4704.659999999974,Sunday,February
2018-02-19,5049.0,8583.48000000001,Monday,February
2018-02-20,4264.0,7983.140000000014,Tuesday,February
2018-02-21,3303.0,8090.769999999815,Wednesday,February
2018-02-22,2986.0,8079.980000000185,Thursday,February
2018-02-23,1775.0,8204.499999999796,Friday,February
2018-02-24,0.0,5506.940000000381,Saturday,February
2018-02-25,0.0,5901.879999999801,Sunday,February
2018-02-26,5298.0,8889.210000000196,Monday,February
2018-02-27,4264.0,8485.519999999815,Tuesday,February
2018-02-28,3303.0,8428.799999999988,Wednesday,February
2018-03-01,2812.0,8134.10000000021,Thursday,March
2018-03-02,1805.0,8087.329999999813,Friday,March
2018-03-03,0.0,4482.549999999988,Saturday,March
2018-03-04,0.0,4922.700000000012,Sunday,March
2018-03-05,5007.0,8882.250000000175,Monday,March
2018-03-06,4222.0,8086.4199999996345,Tuesday,March
2018-03-07,3261.0,8041.85000000018,Wednesday,March
2018-03-08,2722.0,7835.180000000197,Thursday,March
2018-03-09,1733.0,7881.049999999988,Friday,March
2018-03-10,0.0,4446.189999999828,Saturday,March
2018-03-11,0.0,4933.099999999977,Sunday,March
2018-03-12,5007.0,8905.049999999814,Monday,March
2018-03-13,4294.0,8458.950000000186,Tuesday,March
2018-03-14,3261.0,8235.189999999828,Wednesday,March
2018-03-15,2896.0,8079.070000000356,Thursday,March
2018-03-16,1733.0,7849.3599999998405,Friday,March
2018-03-17,0.0,4425.0,Saturday,March
2018-03-18,0.0,4826.0,Sunday,March
2018-03-19,5007.0,8786.169999999984,Monday,March
2018-03-20,4294.0,8174.959999999992,Tuesday,March
2018-03-21,3261.0,8231.210000000021,Wednesday,March
2018-03-22,2722.0,8188.039999999979,Thursday,March
2018-03-23,1733.0,6839.85000000021,Friday,March
2018-03-24,0.0,3306.649999999616,Saturday,March
2018-03-25,0.0,3103.770000000368,Sunday,March
